id,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref
113,0.014072157,0.013320326,0.000691352,-0.017452401,-0.012067266,0.15296641,3.65E-06,0.022803642,C#CC1=CC2=CC=CC3=CC=CC(=C1)N23,0.934521,1.071455,-0.136934,0.000417
114,0.017589312,0.012962117,0.001744099,-0.016138363,-0.011228662,0.300954801,2.94E-05,0.049983171,C1=C(C2=CC=CC3=CC=CC(=C1)N23)C#C,1.094305,1.2431,-0.148795,0.00054
115,0.014004875,0.013269038,0.000657301,-0.017289642,-0.011958716,0.159516195,1.80E-07,0.026291195,[C-]#[N+]C1=CC2=CC=CC3=CC=CC(=C1)N23,0.975636,1.120149,-0.144513,0.000286
116,0.014813605,0.013730484,0.000672416,-0.017277398,-0.011963471,0.192130141,4.90E-07,0.051962163,[C-]#[N+]C1=CC=C2C=CC=C3C=CC=C1N23,1.081133,1.235743,-0.15461,0.000468
117,0.012336356,0.011326449,0.000907027,-0.01719712,-0.011899635,0.163360009,4.19E-05,0.023482357,N#CC1=CC2=CC=CC3=CC=CC(=C1)N23,0.908485,1.017597,-0.109112,0.000683
118,0.023269285,0.014862767,0.002920224,-0.014948419,-0.010461197,0.418982871,0.000240397,0.040812628,N#CC1=CC=C2C=CC=C3C=CC=C1N23,1.193046,1.323711,-0.130665,0.000391
119,0.02016079,0.01932862,0.000572496,-0.018281324,-0.012617543,0.148082473,0.000233158,0.019400636,CN(C)C1=CC2=CC=CC3=CC=CC(=C1)N23,1.33952,1.481742,-0.142222,0.003273
120,0.015903053,0.012031094,0.001493785,-0.016998773,-0.011800342,0.277542358,4.28E-06,0.047191722,CN(C)C1=CC=C2C=CC=C3C=CC=C1N23,1.004602,1.159645,-0.155043,0.000055
121,0.089264323,0.088564412,0.000509224,-0.01821777,-0.012631858,0.132904024,2.43E-06,0.015820873,CC1=NC2=NC=NC3=NC=NC(=N1)N23,2.6291,2.907485,-0.278385,0.000132
122,0.096571001,0.094649258,0.000729502,-0.017724118,-0.01230401,0.133312287,0.003287775,0.019831384,NC1=NC2=NC=NC3=NC=NC(=N1)N23,2.964788,3.17411,-0.209322,0.014191
123,0.096568232,0.09466043,0.000686112,-0.017715577,-0.01229678,0.139105765,0.00319956,0.019500069,CNC1=NC2=NC=NC3=NC=NC(=N1)N23,2.990932,3.187595,-0.196663,0.016011
124,0.089770732,0.089041076,0.001085226,-0.01581195,-0.010993831,0.150050638,7.17E-06,0.023686629,C=CC1=NC2=NC=NC3=NC=NC(=N1)N23,2.558106,2.823845,-0.265739,0.000215
125,0.089559468,0.088857396,0.000816212,-0.016887765,-0.011732142,0.136914074,1.43E-06,0.02215876,C#CC1=NC2=NC=NC3=NC=NC(=N1)N23,2.499777,2.755983,-0.256206,0.000611
126,0.089456633,0.088678375,0.000656288,-0.017051772,-0.011846162,0.151117753,2.19E-05,0.023295241,[C-]#[N+]C1=NC2=NC=NC3=NC=NC(=N1)N23,2.562513,2.827327,-0.264814,0.000173
127,0.088008394,0.086943479,0.001055664,-0.016831341,-0.011702925,0.147467811,0.000249794,0.022234413,N#CC1=NC2=NC=NC3=NC=NC(=N1)N23,2.471574,2.701065,-0.229491,0.001255
128,0.096438126,0.094626915,0.000627779,-0.017701911,-0.012284342,0.13685738,0.00292692,0.01910542,CN(C)C1=NC2=NC=NC3=NC=NC(=N1)N23,2.997856,3.192096,-0.19424,0.015841
129,0.040004986,0.034690176,0.004633505,-0.015294423,-0.010734425,0.297290354,0.00975267,0.023342676,CC1=CC2=CC=NC3=NC=CC(=C1)N23,1.582521,1.742269,-0.159748,0.002082
130,0.040083466,0.034680059,0.004614185,-0.015425266,-0.010823939,0.298733905,0.009831965,0.021034056,CC1=CC2=CC=CC3=CC=NC(=N1)N23,1.586847,1.732186,-0.145339,0.004203
131,0.040640093,0.034457773,0.004772513,-0.015199982,-0.01067725,0.320816322,0.009853506,0.022527671,CC1=CC=C2C=CN=C3N=CC=C1N23,1.551297,1.68695,-0.135653,0.002829
