,Unnamed: 0.1,Unnamed: 0,s1_cis,t1_cis,exchange_integral,dsp_scf,dsp_cis,homo_lumo_overlap,oscillator_strength,run_time,rid,nid,smiles,s1_ref,t1_ref,t1_s1_ref,oscillator_strength_ref,id
27988,28001,49454,0.0677126640461054,0.0164517246694444,0.0354367827642729,0.0020416974179013,0.0011634207145701,0.7006050581050953,0.00095261711155,0.2560985680011072,XII,1140,N#Cc1c(N)c2ccc3nc(N)cc(N)cc3c2c1N,1.6558,0.8267,0.8291,0.0749,XII_1140
27989,28002,61402,0.0683774437830564,0.0155896923805869,0.0362121867927591,0.0014404998103227,0.000628588846718,0.7231092054123178,0.0571163335656072,0.2132706680004048,XII,1141,N#Cc1c(N)c2ccc3nc(N)cc(N)nc3c2c1N,1.5622,0.9477,0.6145,0.1623,XII_1141
27990,28003,21873,0.0655376433021075,0.0067171161880636,0.0369098150846121,0.002903492496554,0.0017369090217315,0.7544511409101451,0.005989747661381,0.3018083990000377,XII,1142,N#Cc1c(N)c2ccc3nc(N)ccc(C#N)c3c2c1N,1.5861,0.9508,0.6353,0.0988,XII_1142
27991,28004,63767,0.0662227241030706,0.0132730765578656,0.0370214779183711,0.0023220373457792,0.001370447775046,0.709000462740838,0.0002466015226473,0.223964426000748,XII,1143,N#Cc1c(N)c2ccc3nc(N)cccc3c2c1N,1.4913,0.7642,0.7271,0.0101,XII_1143
27992,28005,61828,0.0695743945248494,0.0143177090248585,0.0363163313265339,0.0017682267361702,0.0008568214479331,0.7392914650874101,0.040246647465593,0.2175971670003491,XII,1144,N#Cc1c(N)c2ccc3nc(N)ccnc3c2c1N,1.4733,0.9375,0.5358,0.094,XII_1144
27993,28006,41701,0.0661529092093076,0.011401808655016,0.035718170319539,0.0017518027457688,0.0008979085567072,0.7495207305325192,0.0305414585439618,0.3231479810001474,XII,1145,N#Cc1c(N)c2ccc3nc(N)nc(N)c(C#N)c3c2c1N,1.6993,1.1449,0.5544,0.1443,XII_1145
27994,28007,44451,0.0692979151189447,0.017240338693881,0.0359293735778897,0.0013555428791148,0.0006521674963954,0.7074804958844689,0.02146737089576,0.2482962060003046,XII,1146,N#Cc1c(N)c2ccc3nc(N)nc(N)cc3c2c1N,1.7937,0.9358,0.8579,0.1422,XII_1146
27995,28008,34046,0.0687055323944321,0.018830684500287,0.0352689655278209,0.0005525017763117,-2.2530483068862963e-06,0.7265941668886786,0.0673508630483907,0.2189368279996415,XII,1147,N#Cc1c(N)c2ccc3nc(N)nc(N)nc3c2c1N,1.7558,1.164,0.5918,0.184,XII_1147
27996,28009,24110,0.0663715933102935,0.011239126230123,0.0364638197415057,0.0018413576221757,0.000964890603076,0.7404187963979924,0.02388026383054,0.2480362559999775,XII,1148,N#Cc1c(N)c2ccc3nc(N)ncc(C#N)c3c2c1N,1.6832,1.1247,0.5585,0.1292,XII_1148
27997,28010,13521,0.0673547812106818,0.0137066443008819,0.0382688470399446,0.0016935163238498,0.0008904361811567,0.7234686815733739,0.0173365426669005,0.2098365900001226,XII,1149,N#Cc1c(N)c2ccc3nc(N)nccc3c2c1N,1.6998,0.8865,0.8133,0.0921,XII_1149
27998,28011,45225,0.0687612966015933,0.0181281693478183,0.0354790009172643,0.0007962625969198,0.0001611941006051,0.7327448310452405,0.0631317740236599,0.1656890209997072,XII,1150,N#Cc1c(N)c2ccc3nc(N)ncnc3c2c1N,1.7184,1.1848,0.5336,0.1503,XII_1150
27999,28012,68838,0.0632413058433485,0.007212881226728,0.0367925232571434,0.0028342290544825,0.0016552812873314,0.7551088757304094,0.0360406658264499,0.3081027309999626,XII,1151,N#Cc1c(N)c2ccc3nccc(N)c(C#N)c3c2c1N,1.4623,0.899,0.5633,0.1334,XII_1151
28000,28013,14020,0.0649335558246022,0.0143903072964803,0.0366334651002048,0.0022387057936651,0.0013201560138584,0.6986564330215842,0.0011144653778657,0.19849597800021,XII,1152,N#Cc1c(N)c2ccc3nccc(N)cc3c2c1N,1.4466,0.7931,0.6535,0.0268,XII_1152
28001,28014,54390,0.0670086346929537,0.014004996971721,0.0367462767561239,0.001601600828619,0.0007386099828554,0.7232922919593572,0.0709355803580919,0.2010379740004282,XII,1153,N#Cc1c(N)c2ccc3nccc(N)nc3c2c1N,1.3796,0.8554,0.5242,0.1157,XII_1153
28002,28015,9573,0.0631937270918356,0.0063506008424667,0.0373479157939248,0.0031062431708088,0.0018799274981251,0.7562117734220759,0.0145959979793103,0.2377861700001631,XII,1154,N#Cc1c(N)c2ccc3ncccc(C#N)c3c2c1N,1.2615,0.8877,0.3738,0.0173,XII_1154
28003,28016,28561,0.0638234056516964,0.0115180033076853,0.038330228950659,0.0025131587396898,0.0015213400121017,0.7162805082595884,0.0028366160517259,0.1791567390000636,XII,1155,N#Cc1c(N)c2ccc3nccccc3c2c1N,1.2136,0.7572,0.4564,0.0061,XII_1155
28004,28017,1221,0.0685036626811239,0.0128906971161768,0.036657565746025,0.0019738739284945,0.0009937835718666,0.7327151015729946,0.0453718185920085,0.1886072830000102,XII,1156,N#Cc1c(N)c2ccc3ncccnc3c2c1N,1.1501,0.8171,0.333,0.0337,XII_1156
28005,28018,36271,0.0673333790129646,0.0105156914412489,0.0357470300795517,0.0019580144957501,0.0010189685870952,0.7605167761918947,0.022463254366286,0.2874950850000459,XII,1157,N#Cc1c(N)c2ccc3ncnc(N)c(C#N)c3c2c1N,1.6417,1.0924,0.5493,0.1358,XII_1157
28006,28019,22776,0.0705112383027071,0.0159790681040732,0.0363471854622255,0.0015984668088066,0.0008191106411466,0.7218279445545522,0.0113958181316734,0.1838783429993782,XII,1158,N#Cc1c(N)c2ccc3ncnc(N)cc3c2c1N,1.6454,0.8821,0.7633,0.0806,XII_1158
